ID,Category,Issue,Question,Resolution,Tags
c1e29d91,Software,Admin Rights,I need admin rights to install software.,Standard software can be installed via the 'Self-Service Portal'. For other apps submit a 'Temporary Admin Rights' request in Slack.,Software;Install;Admin
c6989bb0,Software,Phishing,I think I received a phishing email.,Do not click any links. Forward the email to phishing-report@acme-corp.com and then delete it from your inbox.,Security;Phishing;Email
7b7ad2e3,Software,Disk Space Full,My disk is almost full.,Use 'Disk Cleanup' (Windows) or 'Storage Management' (Mac) to remove temp files. Move large project files to the cloud (OneDrive/Box).,Software;Performance;Laptop
77cd1791,Facility,Meeting Room Tech,How do I share my screen in the meeting room?,Connect the HDMI cable to your laptop or use the wireless 'ShareLink' code displayed on the room's TV screen.,Meeting;Facility;Tech
58941a4f,Network,VPN Setup,How do I connect to the VPN?,"1. Download Cisco AnyConnect from https://vpn.acme-corp.com/downloads
2. Install the app
3. Connect to vpn.acme-corp.com
4. Enter your SSO credentials and MFA",VPN;Network;AnyConnect;Setup
03a8dc14,Network,VPN Connection,VPN won't connect,"1. Check internet connection
2. Verify VPN URL is vpn.acme-corp.com
3. Try disabling firewall temporarily
4. Clear AnyConnect cache: delete C:\ProgramData\Cisco\Cisco AnyConnect (Windows) or ~/Library/Application Support/Cisco (Mac)",VPN;Network;Troubleshooting
efe2b4f0,Network,VPN Error 0x80041002,VPN error code 0x80041002,DNS Resolution Failure. Check if vpn.acme-corp.com resolves. Flush DNS: 'ipconfig /flushdns' (Windows) or 'sudo killall -HUP mDNSResponder' (Mac),VPN;Error;DNS
d76da2a0,Network,VPN Error 0x80070057,VPN error 0x80070057,"Invalid parameter/MTU issue. Lower MTU to 1300: 'netsh interface ipv4 set subinterface ""VPN"" mtu=1300 store=persistent'",VPN;Error;MTU
dd661d3c,Facility,Meeting Room Audio,How do I unmute the microphone in the meeting room?,Press the microphone button on the Logitech Rally speaker (center of table). LED will turn green when unmuted.,Meeting;Facility;Audio;Microphone
bd01e3cb,Facility,Zoom Room,How to start a Zoom meeting in the conference room?,Tap 'Start Meeting' on the iPad controller. Or tap 'Join' and enter the meeting ID,Meeting;Zoom;Conference
922f79fb,Hardware,Laptop Request,How do I request a new laptop?,Submit a request via ServiceNow (https://acme.service-now.com) under Hardware > New Device Request. Include business justification. Approval required from manager and IT.,Hardware;Laptop;Request;Policy
c3dc0e71,Hardware,Laptop Upgrade,Can I upgrade my laptop?,Laptops are replaced on a 3-year cycle. Early upgrades require VP approval and valid business case (e.g. performance bottleneck for critical work),Hardware;Laptop;Upgrade;Policy
ebf209ae,Hardware,Cracked Screen,My screen is cracked,1 accidental damage event covered per year. Submit ticket with photos. AppleCare or Dell ProSupport will arrange repair (typically 2-3 business days),Hardware;Screen;Damage;Repair
3d701832,Hardware,Standard Laptop Models,What laptop models are available?,"Tier A (Engineering): MacBook Pro 14"" M3 Pro, 36GB RAM. Tier B (Business): MacBook Air 13"" M3 16GB or Dell Latitude 5440",Hardware;Laptop;Models;Specs
5f484374,Software,Software Installation,How do I install software?,Use Self-Service portal (https://self-service.acme-corp.com). Pre-approved software can be installed directly. Custom software requires IT security review (submit ticket),Software;Installation;Security;Policy
92fb211a,Software,Admin Rights,I need admin rights to install software,"Standard users don't have admin rights for security. Use Self-Service portal for approved apps, or submit ticket explaining business need for custom software",Software;Admin;Security;Policy
ba8d10e6,Hardware,Printer Offline,My printer is offline,"1. Check power - ensure printer screen is on
2. Verify network - printer should be on 'ACME-Devices' WiFi
3. Reset queue - delete stuck print jobs and restart printer",Printer;Troubleshooting;Offline
126745c0,Hardware,Printer Paper Jam,Printer paper jam,"Follow on-screen instructions on printer LCD showing jam location (Door A, Tray 2, etc.). Open indicated door and remove jammed paper with both hands. Close firmly.",Printer;Troubleshooting;Jam
e513b84d,Hardware,Add Printer,How do I add a printer?,macOS: System Settings > Printers & Scanners > Add Printer (appears under Bonjour if on corporate WiFi). Windows: Settings > Printers & scanners > Add device,Printer;Setup;Installation
57f9571b,Facility - General Request,How to set up my VPN?,How to set up my VPN?,"To establish a secure remote connection, ensure your workstation is equipped with the latest Pulse Secure client (v9.1R15+) and that your user account has been provisioned within the 'VPN-Access' Active Directory group. The configuration requires pointing the client to the primary gateway at vpn.acme-corp.com, utilized alongside a split-tunneling routing policy that prioritizes 10.0.0.0/8 traffic while maintaining local breakout for public internet services. Authentication is strictly enforced via a dual-factor handshake involving corporate LDAP credentials followed by a mandatory SAML 2.0-based PingID push notification, supplemented by a pre-connection 'Host Checker' compliance scan to verify local disk encryption and real-time antivirus definitions.",Facility;General Request;Resolved
780f05de,Hardware,,"My laptop battery drains really fast, like in 2 hours.","Reduce screen brightness. Close resource-intensive background applications (e.g., web browsers, Slack). Check laptop battery health status. If reported battery health is below 80%, escalate ticket for battery replacement initiation.",Hardware;Battery Drain;Resolved
